所在页面,一级功能点,二级功能点,三级功能点,为什么做,怎么做,效果怎么样,当初设计为了怎么用
今日驾驶舱 (/today),路径预测,Top5状态迁移路径,最可能的5种下一状态及操作建议/胜率,当前格局是路径中一环而非终点,从history_state_transitions统计转移概率并关联胜率,给出最可能的5种状态演化路径及对应操作,提前布局最可能出现的下一个格局
今日驾驶舱 (/today),历史类比,相似历史案例,与当前状态最相似的历史时间点及后续表现,量化研究的核心是从历史中找规律,用kNN算法找最相近的历史时间点并展示其后表现,通过历史镜像理解当前状态的可能后续,作为交易决策的历史依据
今日驾驶舱 (/today),联动快照,池子联动实时表,当日各池子联动系数快照,了解当日联动格局有助于理解归因,读取当日snapshot的linkage字段展示,展示当日联动的完整快照,配合归因卡片使用
今日驾驶舱 (/today),信号提升参考,信号提升速查表,今日触发信号的历史胜率/提升系数,快速确认今日信号的历史有效性,从history_signal_lift读取今日命中信号的历史统计,让用户快速判断今日信号质量,交易决策前快速校验信号可靠性
态势驾驶舱 (/cockpit),态势可视化,多指标驾驶舱仪表,多指标综合态势的仪表盘风格展示,需要一个高密度的专业化综合视图,将多个状态指标渲染成仪表盘风格UI,通过视觉化直觉感知市场态势,为专业用户提供快速感知界面
态势驾驶舱 (/cockpit),历史导航,日期与趋势切换,跨日期状态趋势对比,单一时间点不能反映趋势需要时序对比,支持按日期切换并追踪状态变化趋势,动态观察状态演化趋势,复盘历史状态路径
态势驾驶舱 (/cockpit),案例分析,相似历史案例,当前状态对应的历史可比时间点,专业用户需要快速定位历史先例,从dashboard_view.json读取similarCases字段展示,提供可类比的历史参考点,为专业用户深度分析当前格局
V2评分系统 (/v2),市场环境识别,Regime分类,均值回归/趋势跟随/theta三种模式及ADX值,不同市场状态下信号有效性不同,用ADX指标判断：ADX≤20为均值回归/≥25为趋势/中间为过渡,识别当前市场处于哪种运行模式,根据环境决定采用哪套信号权重
V2评分系统 (/v2),每日评分,-8到+8复合得分及VETO状态,-8到+8的综合得分及是否触发VETO,需要把多信号压缩为单一决策数字,加权求和各信号得分并判断VETO条件,用一个数字反映当日所有信号的综合判断,用评分驱动仓位决策
V2评分系统 (/v2),操作建议,Kelly仓位建议,基于评分+历史胜率的Kelly仓位比例,解决如何科学确定仓位大小的问题,用历史胜率/平均盈亏/ATR计算Kelly比例,给出当日的科学仓位大小建议,严格执行基于概率的仓位管理
V2评分系统 (/v2),操作建议,持仓期建议,基于信号和Regime的建议持仓天数,持仓期因市场状态不同而变化,根据信号类型和Regime组合判断最优持仓期,给出1-5天的持仓期建议,避免过早止盈或持仓过长
V2评分系统 (/v2),信号分解,信号贡献度拆解,各信号类别对总分的贡献占比,知道今日评分来自哪些信号可以分析置信度,将23+个信号的得分按类别聚合并可视化,展示评分的来源构成是否均衡,快速判断高分是单一信号还是多元共振
V2评分系统 (/v2),技术指标,多指标综合展示,ADX/RSI/MACD/布林带/随机指标/ATR原始值,技术指标是V2信号系统的原始输入,从v2_scoring.json读取计算好的技术指标并格式化展示,提供底层技术指标原始值供验证,让用户了解信号背后的技术依据
V2评分系统 (/v2),评分历史,评分时序图,过去N日评分走势折线图,单日评分意义有限需要看连续性,将v2_scoring.json中历史评分绘制折线图,展示评分的连续变化趋势,判断当前高/低分是否持续
V2评分系统 (/v2),评分历史,评分vs超额散点图,历史评分与次日超额收益的相关性散点,需要验证评分系统对收益预测的有效性,绘制评分与T+1超额收益的散点图,直观展示评分系统的预测能力,验证V2评分的alpha信号价值
V2评分系统 (/v2),策略研究,策略汇总卡,胜率/累计超额收益/夏普比率,评分系统历史绩效验证其可信度,从v2_scoring回测统计汇总策略绩效,提供策略历史绩效的三核心指标,判断V2策略是否具备持续使用价值
V2评分系统 (/v2),策略研究,信号有效性表,各信号使用次数/准确率/收益贡献排名,知道哪些信号有效可以优化权重,统计每个信号的历史触发次数和T+1胜率,展示各信号的历史有效性排名,识别最可靠的信号子集
V2评分系统 (/v2),策略研究,屏蔽信号列表,已排除/停用的信号清单,需要记录哪些信号经测试无效被剔除,从v2_scoring.json读取forbidden_signals字段展示,透明展示哪些信号被系统排除,理解信号筛选的历史过程
历史分析V2 (/history-v2),历史映射,路径标签识别,当前状态对应的路径类型标签,抽象的Beta/Alpha组合需要语义化才好理解,从历史路径模式库匹配最相近的路径类型,给当前状态一个有意义的路径名,帮助建立对当前格局的直觉认知
历史分析V2 (/history-v2),历史映射,相似案例统计,历史同状态的频次/平均持续时长/后续表现,了解当前格局历史上有多少先例,在history_summary中检索相同状态组合的历史出现次数,给出当前格局的历史参考频次和胜率,判断当前格局是否有足够历史样本
历史分析V2 (/history-v2),迁移热图,状态转移概率矩阵,从当前格局迁移到各格局的概率热图,理解状态迁移规律是预测下一步的基础,从history_state_transitions统计转移频次并归一化为概率,直观展示状态迁移的概率分布,量化判断最可能进入哪个格局
历史分析V2 (/history-v2),稳定性分析,波动率特征,当前格局下历史波动率的分布,不同格局有不同的波动率特征,统计同格局历史下的日内/日间波动率,了解当前格局下价格的典型波动幅度,为止损位设置提供历史参考
历史分析V2 (/history-v2),预测评估,置信区间分析,T+1/T+5预期收益的置信区间和分桶统计,点估计不够需要知道不确定性范围,用Bootstrap方法计算历史同格局下收益分布,给出有统计意义的超额收益区间,基于概率分布而非点估计进行决策
历史分析V2 (/history-v2),人格画像,量化人格三维度,稳定性/持续性/主导性三维人格标签,理解标的的行为特征是长期研究的基础,统计Beta持续时间/Alpha独立性/波动偏好三维度,给铂力特贴上可解释的量化人格标签,建立对铂力特行为模式的深层认知
历史分析V2 (/history-v2),信号时间线,信号演化时序,所选时段内信号的变化历程,看信号时间演化可以发现领先/滞后关系,在history_summary中提取signal_labels字段并按时序展示,展示信号组合随时间变化的规律,识别信号前后的价格行为
历史分析V2 (/history-v2),研究详情,九宫格分布统计,各格局的历史出现次数和收益分布,了解各格局历史上的频率和收益差异,统计history_summary中各Beta/Alpha组合的出现频次和收益,展示各格局的历史统计特征,研究哪些格局最值得关注
历史分析V2 (/history-v2),研究详情,信号提升系数表,各信号触发后的T+1/T+5收益提升系数,了解信号的历史有效性,从history_signal_lift统计各信号触发vs未触发时的收益对比,提供信号有效性的统计证据,筛选真正有预测价值的信号
历史分析V2 (/history-v2),研究详情,信号组合协同效应,多信号同时触发时的协同增效系数,多信号组合比单信号有更强的预测力,统计多信号组合的历史收益提升vs单信号基准,展示信号组合的协同增效,开发高置信度的多信号组合策略
历史分析V2 (/history-v2),研究详情,极端偏离时间线,历史极端偏离事件的时序记录,极端事件是风险管理的重要参考,从history_extreme_divergences提取并按时序展示极端事件,展示历史上的极端偏离事件,研究极端偏离事件前后的市场规律
量化实验室 (/history),策略绩效,策略英雄卡,累计超额收益/最大回撤/夏普比率汇总,第一眼需要判断整套系统的价值,从composite_signal_backtest读取汇总绩效指标并展示,以单卡形式直接呈现策略核心绩效,快速确认策略是否具备实际价值
量化实验室 (/history),策略绩效,评分引擎构成,多维信号权重分解可视化,需要理解评分引擎的内部构成,读取信号权重配置并用饼图/条形图可视化,展示每类信号在引擎中的权重占比,透明化评分引擎的内部逻辑
量化实验室 (/history),策略曲线,累计超额收益曲线,策略每日净值走势图,看策略绩效的时序稳定性,将composite_signal_backtest中daily_results转为累计净值曲线,直观看出策略的盈亏时序分布,发现策略的强弱周期
量化实验室 (/history),均值回归分析,均值回归信号面板,当前偏离均值的幅度和方向及回归概率,均值回归是短线常用策略逻辑,统计价格相对历史均值的偏离度并判断回归概率,判断当前是否处于均值回归区间,为均值回归操作提供统计依据
量化实验室 (/history),信号Alpha分析,信号vs超额散点图,各信号触发日的Alpha散点分布,直观验证信号的Alpha预测能力,对每个信号分组统计触发日后的T+1超额收益,展示信号有效性的直观证据,筛选真正有Alpha的信号
量化实验室 (/history),ML预测,机器学习预测面板,Ridge/随机森林/梯度提升三模型预测值对比,单一规则不够需要非线性模型补充,展示history_deep_quant_analysis中三个ML模型的预测结果,提供ML模型的预测值供参考,作为规则信号的补充验证
量化实验室 (/history),联动分析,池子联动面板,铂力特与各池子的历史相关性分析,理解铂力特在产业链中的联动位置,从history_deep_quant_analysis读取联动结构分析结果,展示铂力特与各池的历史联动强度,研究铂力特是领涨还是跟涨
量化实验室 (/history),评分日历,热力图日历,按日期颜色编码的V2评分热力图,日历形式便于发现季节性和周期性规律,将历史评分映射到日历格子上并用颜色编码分值,直观发现评分的时间分布规律,发现高分日期的时间规律
量化实验室 (/history),信号权重,信号权重汇总表,各信号贡献权重和有效性排名,需要了解哪些信号在策略中最重要,汇总展示所有信号的历史权重和有效性统计,提供信号重要性的全景视图,研究信号重要性并为后续迭代提供依据
报告系统 (/reports),报告索引,日报列表,所有日期的报告元数据含V2评分/格局/VETO标记,需要快速找到特定日期或特定状态的历史报告,读取data/output/各日期目录汇总元数据,提供可浏览的报告历史索引,回顾历史特定条件下的分析报告
报告系统 (/reports/[date]),报告查看,Markdown日报渲染,完整日报内容的HTML渲染页面,日报是最终分析输出需要良好的阅读体验,读取v2_report.md文件并渲染为HTML,提供可读性良好的完整日报,存档并回顾历史每日分析报告
行业分析报告 (/industry-report),行业报告,行业分析Markdown报告,当日行业分析的结构化文本报告,文本形式补充结构化数据分析之外的行业叙述,读取industry_report.md并渲染为HTML,提供行业分析的文字叙述报告,作为结构化数据的文字补充说明
归档时间线 (/archive),历史归档,事件时间线,所有历史事件和指标记录的时序展示,需要一个线性时间轴来回顾所有历史状态,读取archive数据并按时序排列展示,提供清晰的时间轴历史档案,回顾关键历史节点
八层架构总览 (/layers),架构文档,数据流示意图,L4→L8的数据流架构图,需要理解整个系统的数据流程,用流程图可视化从行情数据到结论的八层架构数据流,让用户理解系统如何从行情数据产生结论,帮助新用户快速理解系统架构
八层架构总览 (/layers),架构文档,三域模型说明,benchmark/ranking/report三域定义和用途,三域模型是池子配置的核心概念,文字+图表说明三域的定义和用途,让用户理解同一标的在不同域有不同权重的原因,配置股票池时正确设置三域权限
八层架构总览 (/layers),实时数据,池子涨跌幅中位数,4个池子的实时中位数收益,架构页需要展示实时数据才有意义,读取当日snapshot展示4个池子的中位数涨跌,提供架构页的实时数据佐证,验证架构文档与真实数据的对应关系
八层架构·池子状态 (/layers/pool-state),计算逻辑,核心公式展示,median_return/up_ratio/volume_multiplier等6个公式,需要透明化L4计算逻辑以供审计,将计算公式以格式化代码形式展示,让研究人员了解池子状态的计算依据,审计或修改L4计算逻辑时作为参考
八层架构·池子状态 (/layers/pool-state),实时验证,当前池子指标实际值,各池子当日指标实际值vs阈值对比,公式展示需要对应实际数据才能验证,读取当日snapshot展示各指标实际值与阈值的对比条,验证公式对应的实际计算结果,开发调试时验证L4计算是否正确
八层架构·锚定位置 (/layers/anchor-position),计算逻辑,5维排名公式,涨幅/成交额/换手/资金流/估值5维排名规则,透明化L5计算逻辑,展示相对强度的计算公式和排名规则,让用户理解锚定位置判断的计算依据,理解为什么被判断为跑赢/跑输
八层架构·锚定位置 (/layers/anchor-position),实时验证,当前锚定位置数据,铂力特当日5维排名实际值,需要用真实数据验证公式,读取当日snapshot的anchor_positions展示实际值,展示铂力特当日在各维度的实际排名,调试和验证L5锚定位置计算
八层架构·组间轮动 (/layers/group-rotation),计算逻辑,轮动spread公式,core vs theme/core vs chain的spread计算规则,透明化L6轮动判断逻辑,展示轮动判断依赖的spread计算公式和阈值,让用户理解轮动信号的底层逻辑,理解轮动信号是如何产生的
八层架构·信号标签 (/layers/signals),信号规则文档,35+信号完整规则展示,每条信号的触发条件/阈值/置信度算法及触发状态,信号是系统最重要的输出需要完全透明,展示全部35+条信号定义和当日实时触发状态,作为信号系统的完整规则文档,研究信号规则并发现改进空间
八层架构·信号标签 (/layers/signals),信号规则文档,5类信号分组统计,Beta/Alpha/量能/轮动/异常五类的今日命中数,了解今日哪类信号最活跃,统计各类别的触发数量并展示,快速了解当日信号的类型分布,判断今日信号是否集中在某一类
八层架构·结论生成 (/layers/conclusion),计算逻辑,结论决策树,Beta/Alpha/风险三棵决策树及当前输入输出,结论不能是黑箱需要用户理解其生成逻辑,将三个决策树可视化并展示当前输入输出路径,让用户理解今日结论如何从信号推导,审计结论逻辑并发现潜在问题
股票池配置 (/pools),池子管理,可视化配置工作台,可视化编辑pools.yaml的成员/角色/三域权限,直接编辑YAML容易出错需要友好界面,读取pools.yaml并渲染可交互的配置工作台支持API更新,提供安全可靠的池子配置管理界面,日常维护股票池成员和三域权限
数据管道,行情数据采集,价格数据抓取 (Step 1),从Tushare获取OHLCV/日基础/资金流向数据,系统所有分析依赖最新行情数据,通过PoolRegistry获取标的列表后调用Tushare API批量拉取,为后续所有步骤提供基础原始数据,每日更新行情保持分析时效性
数据管道,行情数据采集,价格数据标准化 (Step 1),原始数据清洗/对齐/标准化为parquet,原始Tushare数据格式不统一需要标准化,用normalizer.py清洗空值/对齐日期/统一列名后存为parquet,提供标准化的价格数据供所有下游模块使用,降低下游模块的数据处理复杂度
数据管道,日常报告,9阶段日报分析 (Step 2),从行情到结论完整分析：池子状态→相对强度→轮动→信号→结论→输出,每日需要自动化产出当日分析快照,顺序执行9个分析阶段并写出JSON/CSV/MD,生成当日完整分析快照存档,每日自动化产出可存档的完整分析结果
数据管道,历史构建,11子分析历史构建 (Step 3),构建11个维度的全量历史分析数据集,策略回测和状态研究需要全量历史数据,批量处理全历史snapshot并计算11类统计指标存为CSV,产出所有回测和历史研究所需的原始数据集,为所有历史和回测功能提供数据基础
数据管道,V2评分,Walk-forward V2评分 (Step 4),滚动120天训练窗口对全历史做walk-forward评分,V2评分需要walk-forward防止未来函数,对每个历史日期用过去120日训练阈值后对该日评分,产出v2_scoring.json包含全历史真实样本外评分,验证V2评分的真实样本外绩效
数据管道,报告生成,日报文本生成 (Step 5),将V2评分结果转化为可读的Markdown日报,结构化数据需要人类可读的叙述形式,用模板填充V2评分/信号/行业状态生成Markdown报告,产出每日可直接阅读的分析报告文本,每日存档可阅读的分析报告
数据管道,高阶信号,二阶信号分析 (Step 6),分析信号的信号：路径/delta/streak/组合/kNN/三期一致性6类,一阶信号之间有交互关系需要更高层分析,对历史信号序列做6类二阶分析挖掘信号组合规律,发现单信号看不出的高阶规律,开发更有效的多信号组合策略
数据管道,策略回测,组合信号回测 (Step 7),测试多信号组合vs买入持有的有效性,单信号回测不够需要测试组合,将信号组合结果与买入持有基准对比回测,验证组合信号相对单信号的增量价值,筛选最有价值的信号组合
数据管道,深度量化,深度量化分析 (Step 8),M均值回归/N联动结构/P机器学习三维分析,规则信号覆盖不到的模式需要量化方法挖掘,对三个维度分别建模并产出history_deep_quant_analysis.json,产出三维量化分析结果供量化实验室使用,挖掘规则方法之外的统计规律
数据管道,超额评级,超额收益评级回测 (Step 9),对历史超额收益按格局分档评级,需要知道不同格局下超额收益的分布规律,按格局分组统计超额收益分布并设定分档阈值,产出格局-超额收益的分档分布表,为今日驾驶舱的超额预期卡片提供数据
数据管道,前端聚合,前端视图聚合 (Step 10),将所有分析结果合并为单一7.5MB的dashboard_view.json,前端多页面需要统一的数据入口,读取所有CSV/JSON并camelize字段名后合并,产出前端所有页面的统一数据源,让前端减少API请求提升加载性能
核心模块 (src/),池子状态,PoolStateCalculator,计算4个池子每日的Beta状态/排名/核心指标,是整个分析框架的第4层核心计算,计算median_return/up_ratio/volume_multiplier等指标并分档,产出4个PoolState对象供信号生成使用,行业分析的核心基础计算
核心模块 (src/),相对强度,RelativeStrengthCalculator,计算铂力特vs各池子的5维相对排名,L5核心算法判断是否有独立Alpha,计算涨幅/成交额/换手/资金流/估值5维相对排名,产出RelativeStrength对象描述锚定股在各池的位置,判断铂力特是否有相对于行业的独立超额
核心模块 (src/),信号生成,LabelGenerator,从池子状态和相对强度生成35+条信号,原始指标需要通过规则引擎转化为可解释信号,对指标按预定阈值和规则判断触发条件并计算置信度,产出Signal列表供结论生成使用,提供可解释的交易信号
核心模块 (src/),技术指标,技术指标计算库,RSI/MACD/布林带/ADX/随机指标/ATR/SMC纯函数计算,V2评分系统需要标准化的技术指标,对OHLCV数据做纯函数计算产出技术指标列,为V2评分和历史分析提供技术指标数据,确保技术指标计算的一致性和可复用性
核心模块 (src/),市场Regime,ADX市场环境识别,基于ADX判断均值回归/趋势/过渡三种Regime,V2评分的权重随市场环境变化,用ADX≤20判为MR/≥25判为Trending/中间为Transition,为V2评分系统提供市场环境分类,实现自适应市场环境的信号权重体系
核心模块 (src/),V2评分,V2 ScoreEngine,23+信号→Kelly仓位的完整评分流程,将多信号聚合为可操作的单一得分和仓位建议,加权信号得分+Regime调节→复合评分→VETO判断→Kelly仓位,为交易决策提供量化的评分和仓位建议,驱动基于量化评分的交易决策
核心模块 (src/),结论生成,ConclusionBuilder,从信号生成行业Beta/锚定Alpha/风险等级三元结论,信号太多需要收敛为最终判断,用决策树聚合各类信号生成三个维度的最终结论,产出简洁的三元结论供前端仪表盘展示,提供当日最终的行业判断结论
核心模块 (src/),联动分析,LinkageAnalyzer,计算铂力特与各池子的日内相关性和Beta系数,理解领涨/跟涨/独立的联动模式,计算滚动窗口内的相关系数和回归Beta,产出LinkageAnalysis描述当日联动模式,判断铂力特在产业链中的主导vs跟随地位
核心模块 (src/),超额分解,ExcessDecomposition,将超额收益分解为各成分的贡献,了解超额收益来源是Alpha研究的核心,对标的收益做因子分解计算各成分贡献,提供可解释的超额收益分解结果,识别铂力特超额的真实来源
核心模块 (src/),配置管理,PoolRegistry,解析和验证pools.yaml提供全系统配置接口,系统所有组件依赖统一的池子配置管理,解析YAML并验证四层结构正确性暴露类型安全查询接口,为所有模块提供一致的池子配置查询,确保配置变更能被全局验证
核心模块 (src/),历史分析,HistoryAnalysisOrchestrator,协调执行11个历史子分析模块,历史数据分析维度多需要统一协调,按依赖顺序调用11个子分析器并汇总输出,产出11个CSV和3个JSON供回测和策略研究使用,为所有历史研究功能提供数据
配置文件,股票池定义,pools.yaml,30标的/4池子/44成员关系的完整配置,系统需要统一的可版本控制的配置管理,用YAML格式定义instruments/universes/memberships三层结构,是整个系统的单一配置来源,维护研究覆盖标的范围和池子定义
配置文件,催化剂过滤,catalyst_rules.yaml,新闻催化剂的关键词过滤和AI筛选规则,需要过滤无效新闻保留真正相关催化剂,定义include/exclude关键词和AI批量过滤参数,过滤掉噪音保留有价值的催化剂新闻,自动化筛选商业航天和增材制造相关催化剂
